id	relative_path	binary_format	cluster	critical	size_bytes	sha256	class	machine	type	soname	needed_count	needed	defined_symbols	undefined_symbols	jni_exports	vk_exports	string_markers
system32__d3d12.dll	system32/d3d12.dll	pe	graphics_translation	True	135168	80305c6f70b95fa6c61be09aa4ed9dddaad3fb2aa96ee733749265842d126747		unknown		d3d12.dll	9	KERNEL32.dll|api-ms-win-crt-runtime-l1-1-0.dll|api-ms-win-crt-private-l1-1-0.dll|api-ms-win-crt-string-l1-1-0.dll|api-ms-win-crt-stdio-l1-1-0.dll|api-ms-win-crt-convert-l1-1-0.dll|api-ms-win-crt-heap-l1-1-0.dll|api-ms-win-crt-filesystem-l1-1-0.dll|api-ms-win-crt-locale-l1-1-0.dll	0	0	0	0	kernel32|ntdll|proton|vkd3d|wine
system32__d3d12core.dll	system32/d3d12core.dll	pe	graphics_translation	True	4861952	9f9311b8333f91107825cc0bdf991738151a73d9f3ae846049c8a36295fca3d9		unknown		d3d12core.dll	17	dxgi.dll|KERNEL32.dll|ADVAPI32.dll|api-ms-win-crt-runtime-l1-1-0.dll|api-ms-win-crt-heap-l1-1-0.dll|api-ms-win-crt-private-l1-1-0.dll|api-ms-win-crt-string-l1-1-0.dll|api-ms-win-crt-convert-l1-1-0.dll|GDI32.dll|api-ms-win-crt-stdio-l1-1-0.dll|api-ms-win-crt-utility-l1-1-0.dll|api-ms-win-crt-math-l1-1-0.dll|api-ms-win-crt-filesystem-l1-1-0.dll|api-ms-win-crt-locale-l1-1-0.dll|api-ms-win-crt-environment-l1-1-0.dll|api-ms-win-crt-time-l1-1-0.dll|api-ms-win-crt-multibyte-l1-1-0.dll	0	0	0	0	dxvk|fex|kernel32|ntdll|proton|steam|vkd3d|vulkan|wine
syswow64__d3d12.dll	syswow64/d3d12.dll	pe	wine_runtime_core	True	98304	25ba404611bd34ccc89ff837a6359277571552f182c8716d38d5c2467199327c		unknown		d3d12.dll	9	KERNEL32.dll|api-ms-win-crt-runtime-l1-1-0.dll|api-ms-win-crt-private-l1-1-0.dll|api-ms-win-crt-string-l1-1-0.dll|api-ms-win-crt-stdio-l1-1-0.dll|api-ms-win-crt-convert-l1-1-0.dll|api-ms-win-crt-heap-l1-1-0.dll|api-ms-win-crt-filesystem-l1-1-0.dll|api-ms-win-crt-locale-l1-1-0.dll	0	0	0	0	kernel32|ntdll|proton|vkd3d|wine
syswow64__d3d12core.dll	syswow64/d3d12core.dll	pe	wine_runtime_core	True	4771840	1d8e621d6af1da7057da8b0131fd37e04a6930e38107a97fde5152a4903c709f		unknown		d3d12core.dll	17	dxgi.dll|KERNEL32.dll|ADVAPI32.dll|api-ms-win-crt-runtime-l1-1-0.dll|api-ms-win-crt-heap-l1-1-0.dll|api-ms-win-crt-private-l1-1-0.dll|api-ms-win-crt-string-l1-1-0.dll|api-ms-win-crt-convert-l1-1-0.dll|GDI32.dll|api-ms-win-crt-stdio-l1-1-0.dll|api-ms-win-crt-utility-l1-1-0.dll|api-ms-win-crt-math-l1-1-0.dll|api-ms-win-crt-filesystem-l1-1-0.dll|api-ms-win-crt-locale-l1-1-0.dll|api-ms-win-crt-environment-l1-1-0.dll|api-ms-win-crt-time-l1-1-0.dll|api-ms-win-crt-multibyte-l1-1-0.dll	0	0	0	0	dxvk|fex|kernel32|ntdll|proton|steam|vkd3d|vulkan|wine
