id	relative_path	binary_format	cluster	critical	size_bytes	sha256	class	machine	type	soname	needed_count	needed	defined_symbols	undefined_symbols	jni_exports	vk_exports	string_markers
lib__wine__i386-windows__scrrun.dll	lib/wine/i386-windows/scrrun.dll	pe	cpu_translation	True	700416	255f2401ec6e9b4f4357d48072280abac87611e9bcc131fb7a8d310cff34bb6d		unknown		scrrun.dll	6	oleaut32.dll|version.dll|advapi32.dll|ucrtbase.dll|kernel32.dll|ntdll.dll	0	0	0	0	fex|kernel32|ntdll|proton|wine
lib__wine__i386-windows__scsiport.sys	lib/wine/i386-windows/scsiport.sys	pe	cpu_translation	True	94208	33465328f0e438b370bc1889e289f17e675462d47f363808eaf1cb2aff1f861f		unknown		scsiport.sys	3	ntoskrnl.exe|ucrtbase.dll|kernel32.dll	0	0	0	0	fex|kernel32|proton|wine
lib__wine__i386-windows__sdbinst.exe	lib/wine/i386-windows/sdbinst.exe	pe	misc	True	73728	ca150d7c0f034970bddc2359346e266e7514253313ec9039caccfe4adedb2d4e		unknown		sdbinst.exe	3	ucrtbase.dll|kernel32.dll|ntdll.dll	0	0	0	0	kernel32|ntdll|proton|wine
lib__wine__i386-windows__secedit.exe	lib/wine/i386-windows/secedit.exe	pe	misc	True	57344	129df1cb3564154449e6adcf4324a0cbfba7f6eadef1dd0890c0b848fdb15889		unknown		secedit.exe	1	ucrtbase.dll	0	0	0	0	proton|wine
lib__wine__i386-windows__sechost.dll	lib/wine/i386-windows/sechost.dll	pe	cpu_translation	True	372736	0c776db16ef37eeece9b1e70230ae551bb7691e61ead08438303d54823be1d2c		unknown		sechost.dll	4	kernelbase.dll|ucrtbase.dll|kernel32.dll|ntdll.dll	0	0	0	0	fex|kernel32|ntdll|proton|steam|wine|wow64
lib__wine__i386-windows__secur32.dll	lib/wine/i386-windows/secur32.dll	pe	cpu_translation	True	483328	c5f5705df96bde1bf7f25c66adb7dfe2d1e18154e57a312ba6a8ef0a9320c989		unknown		secur32.dll	4	advapi32.dll|ucrtbase.dll|kernel32.dll|ntdll.dll	0	0	0	0	fex|kernel32|ntdll|proton|wine|wow64
lib__wine__i386-windows__security.dll	lib/wine/i386-windows/security.dll	pe	misc	True	8192	61b57586694ea06a696d28ec6db7c36865b218a4a99cef9006014a1b17f7322c		unknown		security.dll	0		0	0	0	0	wine
lib__wine__i386-windows__sensapi.dll	lib/wine/i386-windows/sensapi.dll	pe	misc	True	65536	d2ce2b4ca2a9db8d91f759ab7105896acc1ce9955be96d82cf8fad01e3d82c39		unknown		sensapi.dll	3	ucrtbase.dll|kernel32.dll|ntdll.dll	0	0	0	0	kernel32|ntdll|proton|wine
lib__wine__i386-windows__serialui.dll	lib/wine/i386-windows/serialui.dll	pe	misc	True	94208	b313419430856ea1902375ed35ab5f79ed9206a9e6a86f0f1d50d6cfb7a4b064		unknown		serialui.dll	5	user32.dll|advapi32.dll|ucrtbase.dll|kernel32.dll|ntdll.dll	0	0	0	0	kernel32|ntdll|proton|wine
lib__wine__i386-windows__servicemodelreg.exe	lib/wine/i386-windows/servicemodelreg.exe	pe	misc	True	73728	820e36df6670dbd4bc7def7a9fadac4876aa1175d0b433c96f407b0af4211997		unknown		servicemodelreg.exe	3	ucrtbase.dll|kernel32.dll|ntdll.dll	0	0	0	0	kernel32|ntdll|proton|wine
lib__wine__i386-windows__services.exe	lib/wine/i386-windows/services.exe	pe	cpu_translation	True	299008	9b2864259dff8077b1a0143715747a94bfe263d5b8ec3eab1a038296d72dffc9		unknown		services.exe	7	rpcrt4.dll|advapi32.dll|userenv.dll|setupapi.dll|ucrtbase.dll|kernel32.dll|ntdll.dll	0	0	0	0	fex|kernel32|ntdll|proton|wine|wow64
lib__wine__i386-windows__setupapi.dll	lib/wine/i386-windows/setupapi.dll	pe	cpu_translation	True	1441792	00f49c2429e745c78f0c8312225df708c24a192aac3513030f6d7dda1641bc7f		unknown		setupapi.dll	6	advapi32.dll|rpcrt4.dll|kernelbase.dll|ucrtbase.dll|kernel32.dll|ntdll.dll	0	0	0	0	fex|kernel32|ntdll|proton|wine|wow64
lib__wine__i386-windows__setx.exe	lib/wine/i386-windows/setx.exe	pe	misc	True	77824	b9a626fbd2f2b5d667eeaf5914c288bdb05e5dfe7f6f6e51337b964dd1929e18		unknown		setx.exe	3	ucrtbase.dll|kernel32.dll|ntdll.dll	0	0	0	0	kernel32|ntdll|proton|wine
