id	relative_path	binary_format	cluster	critical	size_bytes	sha256	class	machine	type	soname	needed_count	needed	defined_symbols	undefined_symbols	jni_exports	vk_exports	string_markers
system32__d3d12.dll	system32/d3d12.dll	pe	graphics_translation	True	110592	8c47cd5806e5c9689540e0a948041c44c901594b9247f252dcf2aae1432c0844		unknown		d3d12.dll	9	KERNEL32.dll|api-ms-win-crt-runtime-l1-1-0.dll|api-ms-win-crt-private-l1-1-0.dll|api-ms-win-crt-string-l1-1-0.dll|api-ms-win-crt-stdio-l1-1-0.dll|api-ms-win-crt-convert-l1-1-0.dll|api-ms-win-crt-heap-l1-1-0.dll|api-ms-win-crt-filesystem-l1-1-0.dll|api-ms-win-crt-locale-l1-1-0.dll	0	0	0	0	kernel32|ntdll|proton|vkd3d|wine
system32__d3d12core.dll	system32/d3d12core.dll	pe	graphics_translation	True	5054464	1f3455af8d9fb03a979981bcba75402d7d300bf63e588b2e7798bc9a92c54af5		unknown		d3d12core.dll	17	dxgi.dll|KERNEL32.dll|ADVAPI32.dll|api-ms-win-crt-runtime-l1-1-0.dll|api-ms-win-crt-heap-l1-1-0.dll|api-ms-win-crt-private-l1-1-0.dll|api-ms-win-crt-string-l1-1-0.dll|api-ms-win-crt-convert-l1-1-0.dll|GDI32.dll|api-ms-win-crt-stdio-l1-1-0.dll|api-ms-win-crt-utility-l1-1-0.dll|api-ms-win-crt-math-l1-1-0.dll|api-ms-win-crt-filesystem-l1-1-0.dll|api-ms-win-crt-locale-l1-1-0.dll|api-ms-win-crt-environment-l1-1-0.dll|api-ms-win-crt-time-l1-1-0.dll|api-ms-win-crt-multibyte-l1-1-0.dll	0	0	0	0	dxvk|fex|kernel32|ntdll|proton|steam|vkd3d|vulkan|wine
syswow64__d3d12.dll	syswow64/d3d12.dll	pe	wine_runtime_core	True	98304	0802a318cfb443ef400b5095933dc9be6e6f5a63edca9ab7363e4d74bb13232d		unknown		d3d12.dll	9	KERNEL32.dll|api-ms-win-crt-runtime-l1-1-0.dll|api-ms-win-crt-private-l1-1-0.dll|api-ms-win-crt-string-l1-1-0.dll|api-ms-win-crt-stdio-l1-1-0.dll|api-ms-win-crt-convert-l1-1-0.dll|api-ms-win-crt-heap-l1-1-0.dll|api-ms-win-crt-filesystem-l1-1-0.dll|api-ms-win-crt-locale-l1-1-0.dll	0	0	0	0	kernel32|ntdll|proton|vkd3d|wine
syswow64__d3d12core.dll	syswow64/d3d12core.dll	pe	wine_runtime_core	True	4771840	ddfab3613768f069b2657f9214f224216134a4253158507f71f0b1002c9e1666		unknown		d3d12core.dll	17	dxgi.dll|KERNEL32.dll|ADVAPI32.dll|api-ms-win-crt-runtime-l1-1-0.dll|api-ms-win-crt-heap-l1-1-0.dll|api-ms-win-crt-private-l1-1-0.dll|api-ms-win-crt-string-l1-1-0.dll|api-ms-win-crt-convert-l1-1-0.dll|GDI32.dll|api-ms-win-crt-stdio-l1-1-0.dll|api-ms-win-crt-utility-l1-1-0.dll|api-ms-win-crt-math-l1-1-0.dll|api-ms-win-crt-filesystem-l1-1-0.dll|api-ms-win-crt-locale-l1-1-0.dll|api-ms-win-crt-environment-l1-1-0.dll|api-ms-win-crt-time-l1-1-0.dll|api-ms-win-crt-multibyte-l1-1-0.dll	0	0	0	0	dxvk|fex|kernel32|ntdll|proton|steam|vkd3d|vulkan|wine
