id	relative_path	binary_format	cluster	critical	size_bytes	sha256	class	machine	type	soname	needed_count	needed	defined_symbols	undefined_symbols	jni_exports	vk_exports	string_markers
lib__wine__aarch64-windows__msvcp140.dll	lib/wine/aarch64-windows/msvcp140.dll	pe	cpu_translation	True	6815744	f581e03bc05ab350c6d6850a85f3dce61a6154ca54b7c7fd99858307a92992f8		unknown		msvcp140.dll	0		0	0	0	0	fex|kernel32|ntdll|proton|wine|wow64
lib__wine__aarch64-windows__msvcp140_1.dll	lib/wine/aarch64-windows/msvcp140_1.dll	pe	misc	True	983040	88b4b3ae837702ac277d2d5ed67d606f6b957f1b01e7a26191fa1347f9b8d18a		unknown		msvcp140_1.dll	0		0	0	0	0	kernel32|ntdll|proton|wine
lib__wine__aarch64-windows__msvcp140_2.dll	lib/wine/aarch64-windows/msvcp140_2.dll	pe	misc	True	1048576	bbeeca8837e8c739d8465501d846f312bb94e00932b723a811336a6bb9013191		unknown		msvcp140_2.dll	0		0	0	0	0	kernel32|proton|wine
lib__wine__aarch64-windows__msvcp140_atomic_wait.dll	lib/wine/aarch64-windows/msvcp140_atomic_wait.dll	pe	misc	True	983040	cc5536f09ccedefe635ec35810c2ca47ddf083691d6814533bfbca0ebfd4c1bd		unknown		msvcp140_atomic_wait.dll	0		0	0	0	0	ntdll|proton|wine
lib__wine__aarch64-windows__msvcp140_codecvt_ids.dll	lib/wine/aarch64-windows/msvcp140_codecvt_ids.dll	pe	misc	True	917504	c04b5d58c649bd1e3df5bd959a4685c33074b590830cd22d7d5434e15efa0802		unknown		msvcp140_codecvt_ids.dll	0		0	0	0	0	kernel32|proton|wine
lib__wine__aarch64-windows__msvcp60.dll	lib/wine/aarch64-windows/msvcp60.dll	pe	cpu_translation	True	5898240	41b7f0cc662684cf833d6121b49828fbab48838249baa5b1c80478392c4956af		unknown		msvcp60.dll	0		0	0	0	0	fex|kernel32|proton|wine
lib__wine__aarch64-windows__msvcp70.dll	lib/wine/aarch64-windows/msvcp70.dll	pe	cpu_translation	True	6750208	d47aeda53a3a7cfef5a448db49e12d71df58461ea5719ff564fb194e906ddbee		unknown		msvcp70.dll	0		0	0	0	0	fex|kernel32|proton|wine|wow64
lib__wine__aarch64-windows__msvcp71.dll	lib/wine/aarch64-windows/msvcp71.dll	pe	cpu_translation	True	6750208	d59ce0e279d7dae5f690bd4983a8ca6d1c233e8a5fc271c5553f3d6c5361733d		unknown		msvcp71.dll	0		0	0	0	0	fex|kernel32|proton|wine|wow64
lib__wine__aarch64-windows__msvcp80.dll	lib/wine/aarch64-windows/msvcp80.dll	pe	cpu_translation	True	6881280	8c5f7c967a954babb40325745a855491677fc0701e50147fb81a56f850d5cbc6		unknown		msvcp80.dll	0		0	0	0	0	fex|kernel32|proton|wine|wow64
lib__wine__aarch64-windows__msvcp90.dll	lib/wine/aarch64-windows/msvcp90.dll	pe	cpu_translation	True	6881280	630a3b2e6fe03390ac72f88ddc136df711b046eb00f4944e6fb974c53645c5dc		unknown		msvcp90.dll	0		0	0	0	0	fex|kernel32|proton|wine|wow64
lib__wine__aarch64-windows__msvcp_win.dll	lib/wine/aarch64-windows/msvcp_win.dll	pe	cpu_translation	True	1376256	03ca0ace2f0cc60bc4891c710fc71a9f2d6e905ccd58c2ca9d37a50074e009e6		unknown		msvcp_win.dll	0		0	0	0	0	fex|kernel32|proton|wine
lib__wine__aarch64-windows__msvcr100.dll	lib/wine/aarch64-windows/msvcr100.dll	pe	misc	True	7012352	2b74abdff56c3ee2b501fd23376d7bc9bac0a7e71bf4e5ca29735f2a6e9158b0		unknown		msvcr100.dll	0		0	0	0	0	WRAPPER_|kernel32|ntdll|proton|wine|wow64
lib__wine__aarch64-windows__msvcr110.dll	lib/wine/aarch64-windows/msvcr110.dll	pe	misc	True	7012352	5277f171e70607889e0960da1fc5d3030258c6195f7ae99585a84a634fc430c3		unknown		msvcr110.dll	0		0	0	0	0	WRAPPER_|kernel32|ntdll|proton|wine|wow64
lib__wine__aarch64-windows__msvcr120.dll	lib/wine/aarch64-windows/msvcr120.dll	pe	cpu_translation	True	7405568	13e000cf78c99a29d02bf959963eb47a29b46a96612fdab80f07f75a68716e01		unknown		msvcr120.dll	0		0	0	0	0	WRAPPER_|fex|kernel32|ntdll|proton|wine|wow64
lib__wine__aarch64-windows__msvcr120_app.dll	lib/wine/aarch64-windows/msvcr120_app.dll	pe	misc	True	1114112	2829ac3ffc2b5d8a74e4c7e5be7c2ba4c0b6033676d764f851e5e697ded97e7f		unknown		msvcr120_app.dll	0		0	0	0	0	kernel32|proton|wine
lib__wine__aarch64-windows__msvcr70.dll	lib/wine/aarch64-windows/msvcr70.dll	pe	misc	True	5963776	72ac58b3fc2b9777aa4ba72dcc6a9cce6598d80ddeebf2c1536b7a7cc06fedaf		unknown		msvcr70.dll	0		0	0	0	0	kernel32|ntdll|proton|wine|wow64
lib__wine__aarch64-windows__msvcr71.dll	lib/wine/aarch64-windows/msvcr71.dll	pe	misc	True	5963776	887082e1911edbd4c42c302d28ec6c6573192d76d74961f346e42840d45832bc		unknown		msvcr71.dll	0		0	0	0	0	kernel32|ntdll|proton|wine|wow64
lib__wine__aarch64-windows__msvcr80.dll	lib/wine/aarch64-windows/msvcr80.dll	pe	misc	True	6422528	a3403e94732d546f5560a12d1b4d33d4e43bbdce2d89b29f35140f5e830ca003		unknown		msvcr80.dll	0		0	0	0	0	kernel32|ntdll|proton|wine|wow64
lib__wine__aarch64-windows__msvcr90.dll	lib/wine/aarch64-windows/msvcr90.dll	pe	misc	True	6422528	cb658209b81c78be2e33874adacffca876096d86b89b45557423a66deb70b504		unknown		msvcr90.dll	0		0	0	0	0	kernel32|ntdll|proton|wine|wow64
lib__wine__aarch64-windows__msvcrt.dll	lib/wine/aarch64-windows/msvcrt.dll	pe	misc	True	6356992	021190a8ccb8f880f0cbc7d573beb98c65b01736926928174736a31880bb0c83		unknown		msvcrt.dll	0		0	0	0	0	kernel32|ntdll|proton|wine|wow64
lib__wine__aarch64-windows__msvcrt20.dll	lib/wine/aarch64-windows/msvcrt20.dll	pe	misc	True	1048576	d11bfed53b5a7fa0b034678197c5879eff208b96861f2bc548975177a3b415ed		unknown		msvcrt20.dll	0		0	0	0	0	kernel32|proton|wine
lib__wine__aarch64-windows__msvcrt40.dll	lib/wine/aarch64-windows/msvcrt40.dll	pe	misc	True	983040	67193d1c229b91d170d46d2e85ef7b3b6fca480f37d60e6efc0758a18367dcd7		unknown		msvcrt40.dll	0		0	0	0	0	kernel32|proton|wine
lib__wine__aarch64-windows__msvcrtd.dll	lib/wine/aarch64-windows/msvcrtd.dll	pe	misc	True	5963776	5bf7d805e7be9fc2e0e97273cccf0826b81b2e4ac97a46a0c6a3b04c3283c5fb		unknown		msvcrtd.dll	0		0	0	0	0	kernel32|ntdll|proton|wine|wow64
lib__wine__aarch64-windows__msvdsp.dll	lib/wine/aarch64-windows/msvdsp.dll	pe	misc	True	1245184	cebcd3c73cef484b5c089244e399e98b033436fccab3c1fc874a0c15aecc1b26		unknown		msvdsp.dll	0		0	0	0	0	kernel32|ntdll|proton|wine
lib__wine__aarch64-windows__msvfw32.dll	lib/wine/aarch64-windows/msvfw32.dll	pe	cpu_translation	True	1245184	5eb966dc17816da5ee9543ff1632c9a4dd223b3c54cf0bfbf5167a63d6872b9a		unknown		msvfw32.dll	0		0	0	0	0	fex|kernel32|ntdll|proton|wine|wow64
lib__wine__aarch64-windows__msvidc32.dll	lib/wine/aarch64-windows/msvidc32.dll	pe	misc	True	1048576	08eaf3409b5f19d150a40ec1ade643d3e180099f80ee47d682aeab26aa537736		unknown		msvidc32.dll	0		0	0	0	0	kernel32|ntdll|proton|wine
lib__wine__aarch64-windows__msvproc.dll	lib/wine/aarch64-windows/msvproc.dll	pe	misc	True	1638400	6d985c33375be27c5f4084f2509759c1530a1b1a4408298293d3e36e6dd87d2f		unknown		msvproc.dll	0		0	0	0	0	kernel32|ntdll|proton|wine
lib__wine__aarch64-windows__mswsock.dll	lib/wine/aarch64-windows/mswsock.dll	pe	misc	True	1048576	33e5a1281b40ab7b5a7798581ca5d54d4b3859c22a6a7641df783e2d16b7554a		unknown		mswsock.dll	0		0	0	0	0	kernel32|ntdll|proton|wine
lib__wine__aarch64-windows__msxml.dll	lib/wine/aarch64-windows/msxml.dll	pe	misc	True	1048576	5d994828b7bc56996aa43634835ee51aa9a51e70c9af6c72079fb8c7d5cc1023		unknown		msxml.dll	0		0	0	0	0	kernel32|proton|wine
lib__wine__aarch64-windows__msxml2.dll	lib/wine/aarch64-windows/msxml2.dll	pe	misc	True	1048576	a3933fc02aa7b00d349aa9d1b7d445bb83b1382eb3820955ca5156d32d41c745		unknown		msxml2.dll	0		0	0	0	0	kernel32|proton|wine
lib__wine__aarch64-windows__msxml3.dll	lib/wine/aarch64-windows/msxml3.dll	pe	misc	True	20971520	9512bb7ccf351daef1c38442c5412b9e999ade193c9a59da83e202e6d47ed194		unknown		msxml3.dll	0		0	0	0	0	kernel32|ntdll|proton|wine
lib__wine__aarch64-windows__msxml4.dll	lib/wine/aarch64-windows/msxml4.dll	pe	misc	True	1114112	94c11a6f6586014d164e4c390150cb229c7a32b5476a07b4ed14d88b8d6da9d0		unknown		msxml4.dll	0		0	0	0	0	kernel32|proton|wine
lib__wine__aarch64-windows__msxml6.dll	lib/wine/aarch64-windows/msxml6.dll	pe	misc	True	1114112	60a40ebef762acabcd451564d9a41fd74b479964b4c74bdde1d5d4cf7ff47493		unknown		msxml6.dll	0		0	0	0	0	kernel32|proton|wine
lib__wine__aarch64-windows__mtxdm.dll	lib/wine/aarch64-windows/mtxdm.dll	pe	misc	True	1441792	41764c612aba9c3b592846bb19705272eb676b2d22897a0f501a16ac0c4fdf9f		unknown		mtxdm.dll	0		0	0	0	0	kernel32|ntdll|proton|wine
