id	relative_path	binary_format	cluster	critical	size_bytes	sha256	class	machine	type	soname	needed_count	needed	defined_symbols	undefined_symbols	jni_exports	vk_exports	string_markers
lib__wine__aarch64-windows__plugplay.exe	lib/wine/aarch64-windows/plugplay.exe	pe	misc	True	114688	16b47a3b39392859b03fb493114a51838b1c5a6837929c482f40b3487a86d094		unknown		plugplay.exe	0		0	0	0	0	kernel32|ntdll|proton|wine|wow64
lib__wine__aarch64-windows__pnputil.exe	lib/wine/aarch64-windows/pnputil.exe	pe	misc	True	90112	31e2d5afea3aea72a9c6f510ecc31f379fbfeb6ca4ad1f018a6cf7d6b9b3cf71		unknown		pnputil.exe	0		0	0	0	0	kernel32|ntdll|proton|wine|wow64
lib__wine__aarch64-windows__powershell.exe	lib/wine/aarch64-windows/powershell.exe	pe	misc	True	98304	63d6cdc46d5f880927afff6dfad13e5201abc65eba5f6182424670de9f548488		unknown		powershell.exe	0		0	0	0	0	kernel32|ntdll|proton|wine|wow64
lib__wine__aarch64-windows__powrprof.dll	lib/wine/aarch64-windows/powrprof.dll	pe	misc	True	249856	c1b332b69a713fe835421ead275d9732626405b05bfd99cd05b3d92decc80af7		unknown		powrprof.dll	0		0	0	0	0	kernel32|ntdll|proton|wine|wow64
lib__wine__aarch64-windows__presentationfontcache.exe	lib/wine/aarch64-windows/presentationfontcache.exe	pe	misc	True	98304	abea2aa562bc43c1850db84eeaa4465541b6fad3ac38dfd8548c0fca226a4e5b		unknown		presentationfontcache.exe	0		0	0	0	0	kernel32|ntdll|proton|wine|wow64
lib__wine__aarch64-windows__printui.dll	lib/wine/aarch64-windows/printui.dll	pe	misc	True	151552	1b2c71a761d10b701f784bd1c00cc879316ec44d9f5c5f23e4fa71d13a06fd9c		unknown		printui.dll	0		0	0	0	0	kernel32|ntdll|proton|wine
lib__wine__aarch64-windows__prntvpt.dll	lib/wine/aarch64-windows/prntvpt.dll	pe	misc	True	491520	52919a6d4a2977ad178c9aa50316623b1fb1c6fbcc89a9e81575f158f98472fe		unknown		prntvpt.dll	0		0	0	0	0	kernel32|ntdll|proton|wine
lib__wine__aarch64-windows__profapi.dll	lib/wine/aarch64-windows/profapi.dll	pe	misc	True	77824	bbba87c2ad0d6b688f146cfa27b0d1ff5ce8c91692b374d2c658192c36f6791c		unknown		profapi.dll	0		0	0	0	0	kernel32|proton|wine
lib__wine__aarch64-windows__progman.exe	lib/wine/aarch64-windows/progman.exe	pe	cpu_translation	True	172032	0ad7daa593e2dda4fa44196972d24466576a10ee622b86042cccfd23562d3290		unknown		progman.exe	0		0	0	0	0	fex|kernel32|ntdll|proton|wine|wow64
lib__wine__aarch64-windows__propsys.dll	lib/wine/aarch64-windows/propsys.dll	pe	misc	True	1118208	04e45a2ec2883395ea80ebadc654435f0ed2fba7cdc2b9323432d2e61f7cdbd6		unknown		propsys.dll	0		0	0	0	0	kernel32|ntdll|proton|wine
lib__wine__aarch64-windows__psapi.dll	lib/wine/aarch64-windows/psapi.dll	pe	misc	True	86016	561f950970e29bca6462fd67b5c12aef72821cf14d03c1f074f824838bb4bdf7		unknown		psapi.dll	0		0	0	0	0	kernel32|proton|wine
lib__wine__aarch64-windows__pstorec.dll	lib/wine/aarch64-windows/pstorec.dll	pe	misc	True	245760	f1fa6731056d0e6e7526fee7454a817c966930f20bae431d4606b6ddddb5b324		unknown		pstorec.dll	0		0	0	0	0	kernel32|ntdll|proton|wine
